timestamp,stage,model,prompt_tokens,completion_tokens,latency_ms,cache_hit,image_count
2026-06-19T15:48:28.642001+00:00,single_pass,gpt-4.1-mini,2024,410,6228.8,False,1
2026-06-19T15:48:35.357015+00:00,single_pass,gpt-4.1-mini,2049,417,6709.7,False,1
2026-06-19T15:48:42.977901+00:00,single_pass,gpt-4.1-mini,1962,442,7615.8,False,2
2026-06-19T15:48:50.864162+00:00,single_pass,gpt-4.1-mini,2270,441,7882.7,False,1
2026-06-19T15:48:56.905630+00:00,single_pass,gpt-4.1-mini,2682,367,6033.6,False,2
2026-06-19T15:49:02.939549+00:00,single_pass,gpt-4.1-mini,1499,419,6025.8,False,1
2026-06-19T15:49:10.630275+00:00,single_pass,gpt-4.1-mini,2600,442,7682.1,False,2
2026-06-19T15:53:57.123148+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:53:57.127975+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:53:57.130568+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:53:57.133570+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:53:57.136324+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:53:57.138642+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:53:57.141281+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:53:57.143613+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T15:53:57.146539+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
2026-06-19T16:01:59.101414+00:00,claim_extraction,gpt-4.1-mini,0,0,0.0,True,0
